title,url,category,description,datetime,title_len
"Вибух авто у Дніпрі був терактом, виконавців затримали ""по гарячих слідах""",https://www.rbc.ua/rus/news/vibuh-avto-dnipri-buv-teraktom-vikonavtsiv-1778233946.html,,,12:59,74
"Невідомий робив мільярдні ставки на нафту перед заявами Трампа, - Reuters",https://www.rbc.ua/rus/news/nevidomiy-robiv-milyardni-stavki-naftu-pered-1778233076.html,,,12:44,73
13 аеропортів на півдні РФ зупинено через атаку дрона,https://www.rbc.ua/rus/news/13-aeroportiv-pivdni-rf-zupineno-cherez-ataku-1778232270.html,,,12:29,53
Іноземним ЗМІ заборонили висвітлювати парад у Москві,https://www.rbc.ua/rus/news/inozemnim-zmi-zaboronili-visvitlyuvati-parad-1778232027.html,,,12:22,52
"РФ терміново розгортає ще 4 полки та 162 батареї для протидії українським дронам, - Сирський",https://www.rbc.ua/rus/news/rf-terminovo-rozgortae-shche-4-polki-ta-162-1778230067.html,,,12:00,92
"Глобальне ставлення до США стало гіршим, ніж до Росії, - опитування",https://www.rbc.ua/rus/news/globalne-stavlennya-ssha-stalo-girshim-nizh-1778229395.html,,,11:51,67
Поліція хоче контролювати обіг дронів: голова Нацполу назвав причину,https://www.rbc.ua/rus/news/droni-pochali-vikoristovuvati-vchinennya-1778229687.html,,,11:47,68
"""Азов"" заявив, що ""повертається"" до Маріуполя: що це означає (відео)",https://www.rbc.ua/rus/news/azov-zayaviv-shcho-povertaetsya-mariupolya-1778229095.html,,,11:32,68
"Україну на вихідних ""накриють"" дощі та грози, але не без винятків (карта)",https://www.rbc.ua/rus/news/ukrayinu-vihidnih-nakriyut-doshchi-ta-grozi-1778227105.html,,,11:06,73
"Десятки пасажирів круїзного лайнера роз'їхалися по світу ще до виявлення хантавірусу, - AP",https://www.rbc.ua/rus/news/desyatki-pasazhiriv-kruyiznogo-laynera-roz-1778226427.html,,,11:00,90
Трамп уперше прокоментував ситуацію з хантавірусом,https://www.rbc.ua/rus/news/tramp-upershe-prokomentuvav-situatsiyu-hantavirusom-1778225380.html,,,10:47,50
Ціни на АЗС пішли вниз: скільки коштує літр бензину та дизелю 8 травня,https://www.rbc.ua/rus/news/tsini-azs-pishli-vniz-skilki-koshtue-litr-1778225775.html,,,10:36,70
Трамп доручив передати Папі Римському важливе послання (відео),https://www.rbc.ua/rus/news/tramp-doruchiv-peredati-papi-rimskomu-vazhlive-1778225012.html,,,10:24,62
"Оновлена версія нацизму має маркування: ""сделано в России"", - Зеленський",https://www.rbc.ua/rus/news/zelenskiy-onovlena-versiya-natsizmu-mae-markuvannya-1778222948.html,,,09:58,72
В ЄС хочуть поновити розмови про передачу Україні заморожених активів: хто проти,https://www.rbc.ua/rus/news/es-hochut-ponoviti-rozmovi-peredachu-ukrayini-1778222610.html,,,09:49,80
"""Вітання Кадирову"": українські дрони атакували Грозний (відео)",https://www.rbc.ua/rus/news/vitannya-kadirovu-ukrayinski-droni-atakuvali-1778221443.html,,,09:30,62
"У зоні відчуження вирує масштабна пожежа у лісі, вогонь швидко поширюється (відео)",https://www.rbc.ua/rus/news/zoni-vidchuzhennya-virue-masshtabna-pozhezha-1778219796.html,,,09:00,82
Один з найбільших НПЗ Росії знову під ударом: що відомо про третю атаку на Перм (відео),https://www.rbc.ua/rus/news/odin-naybilshih-npz-rosiyi-znovu-pid-udarom-1778219735.html,,,08:55,87
"Чому 9 травня, а не 8? Звідки взявся ""день перемоги"" й чому СРСР так тримався за цю дату",https://www.rbc.ua/rus/news/chomu-9-travnya-8-zvidki-vzyavsya-den-peremogi-1778169158.html,,,08:46,88
"Різкий рух валют: обмінники та банки дали нові ""цінники"" на долар та євро 8 травня",https://www.rbc.ua/rus/news/rizkiy-ruh-valyut-obminniki-ta-banki-dali-1778218931.html,,,08:42,82
"Росія вночі атакувала Україну десятками дронів, було понад 10 прильотів, - ПС",https://www.rbc.ua/rus/news/rosiya-vnochi-atakuvala-ukrayinu-desyatkami-1778218013.html,,,08:33,77
"Путін збрехав про власне ""перемир'я"", навіть не імітувавши його, -  Зеленський",https://www.rbc.ua/rus/news/zelenskiy-nazvav-kilkist-atak-kimi-rf-zirvala-1778217723.html,,,08:25,78
У Молдові обмежили російську мову в парламенті: прихильники Путіна незадоволені,https://www.rbc.ua/rus/news/moldovi-obmezhili-rosiysku-movu-parlamenti-1778215288.html,,,08:16,79
Спека VS авто: як високі температури ламають вашу машину,https://auto.rbc.ua/rus/news/speka-pislya-holodiv-ryatuemo-vid-rizikiv-1778085857.html,,,08:08,56
"У МАГАТЕ пояснили, де збагачений уран Ірану і чому туди важко потрапити",https://www.rbc.ua/rus/news/magate-poyasnili-de-zbagacheniy-uran-iranu-1778213225.html,,,07:44,71
У Гаазі невідомий кинув бомбу в офіс партії D66 через поштову скриньку,https://www.rbc.ua/rus/news/gaazi-nevidomiy-kinuv-bombu-ofis-partiyi-1778211779.html,,,07:24,70
Спека спаде: наскільки сьогодні знизиться температура повітря та де пройде грозовий дощ,https://www.rbc.ua/rus/news/speka-spade-naskilki-sogodni-znizitsya-temperatura-1778159049.html,,,07:00,87
"В Україні створили лазер ""Тризуб"", який буде збивати ""Шахеди"" окупантів РФ",https://www.rbc.ua/rus/news/ukrayini-stvorili-lazer-trizub-kiy-bude-zbivati-1778211226.html,,,06:43,74
Росія скидає з дронів листівки-гривні з небезпечними QR-кодами в прикордонні,https://www.rbc.ua/rus/news/rosiya-skidae-droniv-listivki-grivni-nebezpechnimi-1778208774.html,,,06:17,76
Канада може розпастись: сепаратисти Альберти ініціюють референдум,https://www.rbc.ua/rus/news/kanada-mozhe-rozpastis-separatisti-alberti-1778208654.html,,,05:50,65
"Дрони вдарили по Москві, НПЗ у Ярославлі та заводу в Ростові напередодні параду",https://www.rbc.ua/rus/news/droni-vdarili-moskvi-npz-roslavli-ta-zavodu-1778205201.html,,,05:17,79
"Іраном керують ""сновиди"": Трамп відреагував на взаємні атаки флотів в Ормузі",https://www.rbc.ua/rus/news/iranom-keruyut-lunatiki-tramp-vidreaguvav-1778204894.html,,,04:48,76
"Суд визнав тарифи Трампа незаконними, але заблокував лише для трьох позивачів",https://www.rbc.ua/rus/news/sud-viznav-tarifi-trampa-nezakonnimi-ale-1778200226.html,,,04:13,77
РФ таємно відновлює військову базу у сирійському Тартусі,https://www.rbc.ua/rus/news/rf-taemno-vidnovlyue-viyskovu-bazu-siriyskomu-1778200803.html,,,03:40,56
Латвія вручила РФ ноту протесту через російські дрони у своєму небі,https://www.rbc.ua/rus/news/latviya-vruchila-rf-notu-protestu-cherez-1778197385.html,,,03:09,67
Пускові Patriot та NASAMS напівпорожні через дефіцит ракет - Ігнат,https://www.rbc.ua/rus/news/puskovi-patriot-ta-nasams-napivporozhni-cherez-1778196699.html,,,02:31,66
"Під молоток. Чому Зеленський вимагає негайної приватизації ""Сенс Банку"" Сб 09.05.2026, 08:00",https://www.rbc.ua/rus/news/pid-molotok-chomu-zelenskiy-vimagae-negaynoyi-1778247895.html,,,,92
"""Якби не СРСР, Друга світова б не розпочалась"": інтерв'ю з істориком про ціну перемоги для України",https://www.rbc.ua/rus/news/yakbi-srsr-druga-svitova-rozpochalas-interv-1777745672.html,,,,98
Ультиматуми чи діалог? Чого чекати Україні від Петера Мадяра та нової влади Угорщини,https://www.rbc.ua/rus/news/ultimatumi-chi-dialog-chogo-chekati-ukrayini-1778087798.html,,,,84
"15 років за ""потрібну адресу"". Репортаж із колонії, де сидять коригувальниці російських ракет",https://www.rbc.ua/rus/news/15-rokiv-potribnu-adresu-reportazh-iz-koloniyi-1778010874.html,,,,93
"""Ми не вигадали нічого нового"": співавтор Цивільного кодексу 2.0 про резонанс проекту",https://www.rbc.ua/rus/news/mi-vigadali-nichogo-novogo-spivavtor-tsivilnogo-1778057227.html,,,,85
"Не “імпорт” робочої сили, а повернення українців: якою має бути стратегія держави",https://www.rbc.ua/rus/news/-import-rabochoyi-sili-povernennya-ukrayintsiv-1778239361.html,,,,81
Мінус Вінниця щороку. Чому керована міграція – це єдиний шлях до відновлення України,https://www.rbc.ua/rus/news/minus-vinnitsya-shchoroku-chomu-kerovana-1777991759.html,,,,84
Чому Нацбанк не пом’якшує монетарну політику?,https://www.rbc.ua/rus/news/chomu-natsbank-pom-yakshue-monetarnu-politiku-1777833209.html,,,,45
Нові правила ротації в ЗСУ. Як системні зміни в армії трансформують рекрутинг,https://www.rbc.ua/rus/news/novi-pravila-rotatsiyi-zsu-k-sistemni-zmini-1777542872.html,,,,77
Jetour X50: Стильний кросовер для міста,https://www.rbc.ua/rus/news/jetour-x50-stilniy-krosover-mista-1777382620.html,,,,39
"""Незакритий гештальт"": чому та які методи армії СРСР використовує РФ проти України",https://www.rbc.ua/rus/news/nezakritiy-geshtalt-chomu-ta-ki-metodi-armiyi-1778231370.html,,,07:44,82
"""Спокутувати провину кров’ю"": як СРСР кидав у бій ненавчених українців та спалював міста",https://www.rbc.ua/rus/news/spokutuvati-provinu-krov-yu-k-srsr-kidav-1778260017.html,,,06:40,88
День матері 2026: коли в Україні вітають найрідніших і як визначається дата,https://www.rbc.ua/rus/news/den-materi-2026-koli-ukrayini-vitayut-nayridnishih-1778261420.html,,,20:33,75
Без мотиваційних листів та нові ліміти заяв: КНУ оприлюднив правила вступу на 2026 рік,https://www.rbc.ua/rus/news/motivatsiynih-listiv-ta-novi-limiti-zayav-1778256092.html,,,19:32,86
Уникнути суду не вдасться: як планують посилити відповідальність за булінг у школах,https://www.rbc.ua/rus/news/uniknuti-sudu-vdastsya-k-planuyut-posiliti-1778253363.html,,,18:17,83
"Рішення ВЛК, виплати та накази: військовим пояснили, як оскаржити незаконні дії командування",https://www.rbc.ua/rus/news/rishennya-vlk-viplati-ta-nakazi-viyskovim-1778163131.html,,,,92
"Більше не ""9 травня"": як Україна змінила формат вшанування перемоги над нацизмом",https://www.rbc.ua/rus/news/bilshe-9-travnya-k-ukrayina-zminila-format-1778170522.html,,,,80
"Скільки коштує гуртожиток у 2025: ціни в університетах Києва, Львова та Харкова",https://www.rbc.ua/rus/news/skilki-koshtue-gurtozhitok-2025-tsini-universitetah-1753704354.html,,,,79
Реформа ВСУ,https://www.rbc.ua/ukr/news/reforma-zsu-kih-zmin-armiyi-chekati-vzhe-1777644218.html,,,,11
"Долги теплокоммунэнерго перед ""Нафтогазом"" превысили 150 млрд грн, - Свириденко",https://www.rbc.ua/ukr/news/borgi-teplokomunenergo-pered-naftogazom-perevishchili-1778323211.html,,,,79
"У Путина заявили, что выход на мирное соглашение с Украиной ""займет много времени"" Сб 09.05.2026, 14:19",https://www.rbc.ua/ukr/news/putina-zayavili-shcho-vihid-mirnu-ugodu-ukrayinoyu-1778325455.html,,,,103
"Польша предложила США разместить дополнительные войска у границ РФ Сб 09.05.2026, 12:56",https://www.rbc.ua/ukr/news/polshcha-zaproponuvala-ssha-rozmistiti-dodatkovi-1778320584.html,,,,87
Украинские дроны добрались до Маривуполя: ISW оценил новую тактику ВСУ,https://www.rbc.ua/ukr/news/ukrayinski-droni-distalisya-mariupolya-isw-1778309599.html,,,,70
"Несмотря на перемирие, Россия атаковала Украину баллистикой и более 40 дронами, есть прилеты Сб 09.05.2026, 08:24",https://www.rbc.ua/ukr/news/popri-peremir-ya-rosiya-atakuvala-ukrayinu-1778303923.html,,,,113
"Трамп допустил, что перемирие между Украиной и Россией может быть больше трех дней Сб 09.05.2026, 02:25",https://www.rbc.ua/ukr/news/tramp-pripustiv-shcho-peremir-ya-mizh-ukrayinoyu-1778282376.html,,,,103
"НБУ объяснил, почему цены на АЗС не упали несмотря на удешевление нефти",https://www.rbc.ua/ukr/news/nbu-poyasniv-chomu-tsini-azs-vpali-popri-1778260079.html,,,,71
"Демонополизация газового рынка необходима для инвестиций и роста добычи, - НАДПУ Пт 08.05.2026, 18:58",https://www.rbc.ua/ukr/news/demonopolizatsiya-gazovogo-rinku-potribna-1778255895.html,,,,101
"Расходы на армию вырастут вдвое: Кабмин предлагает Раде пересмотреть бюджет-2026 Пт 08.05.2026, 18:15",https://www.rbc.ua/ukr/news/vidatki-armiyu-zrostut-udvichi-kabmin-proponue-1778252986.html,,,,101
"Вокруг Москвы строят еще одно ""кольцо"" ПВО, - СМИ",https://www.rbc.ua/ukr/news/navkolo-moskvi-buduyut-shche-odne-kiltse-1778322699.html,,,,49
"Латвия поднимала истребители из-за угрозы в воздушном пространстве на границе с РФ Сб 09.05.2026, 09:51",https://www.rbc.ua/ukr/news/latviya-pidiymala-vinishchuvachi-cherez-zagrozu-1778309093.html,,,,103
"Раненый Хаменеи может вести переговоры Ирана с США ""из тени"", - CNN Сб 09.05.2026, 09:11",https://www.rbc.ua/ukr/news/poraneniy-hameneyi-mozhe-vesti-peregovori-1778307101.html,,,,88
Киллер РФ планировал убийство топ-чиновника ВМС Украины до 9 мая,https://www.rbc.ua/ukr/news/kiler-rf-planuvav-vbivstvo-top-posadovtsya-1778312598.html,,,,64
"В Одессе мужчина открыл стрельбу в пиццерии, его задержали Пт 08.05.2026, 22:50",https://www.rbc.ua/ukr/news/odesi-cholovik-vidkriv-strilyaninu-pitseriyi-1778269187.html,,,,79
"Экс-судью Тандыра, который сбил нацгвардейца, разоблачили на махинациях с квартирами Пт 08.05.2026, 21:24",https://www.rbc.ua/ukr/news/ekssuddyu-tandira-kiy-zbiv-natsgvardiytsya-1778264156.html,,,,105
"РФ перебросила танковую дивизию в Покровск, а в Гришино идут стрелковые бои, - ДШВ",https://www.rbc.ua/ukr/news/rf-perekinula-tankovu-diviziyu-pokrovsk-grishinomu-1778316872.html,,,,82
"Украина испытала ИИ-турель для перехвата российских дронов, - Федоров",https://www.rbc.ua/ukr/news/ukrayina-viprobuvala-shi-turel-perehoplennya-1778316711.html,,,11:51,69
Трамп готов отправить делегацию в Москву для переговоров по Украине для переговоров по Украине,https://www.rbc.ua/ukr/news/tramp-gotoviy-vidpraviti-delegatsiyu-moskvi-1778313351.html,,,11:01,94
На Канарах начались протесты из-за прибытия на остров лайнера с хантавирусом,https://www.rbc.ua/ukr/news/kanarah-pochalis-protesti-cherez-pributtya-1778300929.html,,,08:04,76
"США и Иран могут возобновить переговоры на следующей неделе, - WSJ",https://www.rbc.ua/ukr/news/ssha-ta-iran-mozhut-vidnoviti-peregovori-1778297879.html,,,07:31,66
Условий для снижения нет: что ждать от курса доллара и евро на следующей неделе,https://www.rbc.ua/ukr/news/umov-znizhennya-nemae-shcho-chekati-vid-kursu-1778136755.html,,,07:30,79
Дожди и грозы накроют часть Украины: в каких регионах ждать осадки сегодня,https://www.rbc.ua/ukr/news/doshchi-ta-grozi-nakriyut-chastinu-ukrayini-1778245659.html,,,07:00,74
"Тайвань урезал пакет закупок оружия у США: Госдеп увидел в этом уступку Китаю, - Reuters",https://www.rbc.ua/ukr/news/tayvan-urizav-paket-zakupivel-zbroyi-ssha-1778294882.html,,,05:55,88
Ирак открыл огромное месторождение нефти на фоне энергетического кризиса,https://www.rbc.ua/ukr/news/irak-vidkriv-velichezne-rodovishche-nafti-1778293169.html,,,05:24,72
"США снова взялись за Гренландию? Спецпредставитель Трампа впервые посетит остров, - AP",https://www.rbc.ua/ukr/news/ssha-znovu-vzyalisya-grenlandiyu-spetspredstavnik-1778290274.html,,,04:57,86
Куба останется без никеля после давления Трампа на канадцев,https://www.rbc.ua/ukr/news/kuba-zalishitsya-nikelyu-pislya-tisku-trampa-1778288466.html,,,04:29,59
"Администрация Трампа обжаловала решение суда, который признал тарифы незаконными",https://www.rbc.ua/ukr/news/administratsiya-trampa-oskarzhila-rishennya-1778287861.html,,,03:51,80
У Путина зашкаливает паранойя: охрана снимает с чиновников РФ даже часы,https://www.rbc.ua/ukr/news/putina-zashkalyue-paranoya-ohorona-znimae-1778285162.html,,,03:17,71
Катар спасет переговоры США и Ирана? Вэнс встретился с главным посредником,https://www.rbc.ua/ukr/news/katar-vryatue-peregovori-ssha-ta-iranu-vens-1778281213.html,,,02:49,74
